Well,Reservoir,Date,"Qo, BOPD","Qw, BWPD","Qg, MSCF/D"
BCS0006,M06,19633,5.03846,4.1831217,3.8911417
BCS0006,M06,19664,5.03846,4.1831217,3.8911417
BCS0006,M06,19694,5.03846,4.1831217,3.8911417
BCS0006,M06,19725,5.03846,4.1831217,3.8911417
BCS0006,M06,19756,5.03846,4.1831217,3.8911417
BCS0006,M06,19784,5.03846,4.1831217,3.8911417
BCS0006,M06,19815,5.03846,4.1831217,3.8911417
BCS0006,M06,19845,5.03846,4.1831217,3.8911417
BCS0006,M06,19876,318.03726,0.0,116.53078
BCS0006,M06,19906,357.24026,0.0,133.35727
BCS0006,M06,19937,374.45084,0.0,140.87585
BCS0006,M06,19968,486.86877,0.0,247.59796
BCS0006,M06,19998,504.45587,0.0,278.22363
BCS0006,M06,20029,512.79065,0.0,296.64484
BCS0006,M06,20059,1446.3799,29.4534,192.4726
BCS0006,M06,20090,1532.2301,31.219055,204.59369
BCS0006,M06,20121,1489.888,30.432568,198.9032
BCS0006,M06,20149,1487.675,30.47995,198.90768
BCS0006,M06,20180,1476.5458,30.34988,197.67348
BCS0006,M06,20210,1270.7427,24.811047,208.50719
BCS0006,M06,20241,1556.8428,32.24316,209.83557
BCS0006,M06,20271,1601.45,33.28188,216.5474
BCS0006,M06,20302,1623.7631,33.85511,220.08777
BCS0006,M06,20333,1884.0532,0.5247965,279.00668
BCS0006,M06,20363,1888.5276,0.18841076,278.5314
BCS0006,M06,20394,1689.1771,23.128555,249.45622
BCS0006,M06,20424,1642.3933,30.492573,223.90996
BCS0006,M06,20455,1581.4922,33.47935,215.80356
BCS0006,M06,20486,1672.4546,22.80428,245.70891
BCS0006,M06,20515,1648.3267,26.109993,233.43013
BCS0006,M06,20546,1731.2684,13.354817,272.40967
BCS0006,M06,20576,5.03846,4.1831217,3.8911417
BCS0006,M06,20607,1832.3651,0.0,272.9133
BCS0006,M06,20637,1505.7957,32.497913,207.07901
BCS0006,M06,20668,1534.7972,33.211807,211.57433
BCS0006,M06,20699,1459.0127,31.722023,201.10928
BCS0006,M06,20729,1523.6852,33.182735,210.6859
BCS0006,M06,20760,1387.7047,30.427013,191.62668
BCS0006,M06,20790,1396.6401,30.715557,193.2457
BCS0006,M06,20821,1441.2479,31.757648,199.96909
BCS0006,M06,20852,1427.8892,31.580696,198.41658
BCS0006,M06,20880,1485.8722,32.89401,207.01524
BCS0006,M06,20911,1454.6776,32.34196,202.91632
BCS0006,M06,20941,1410.1051,31.505222,196.896
BCS0006,M06,20972,1376.6809,30.906288,192.47878
BCS0006,M06,21002,1419.0583,31.898125,198.8723
BCS0006,M06,21033,1459.2076,32.846455,204.95914
BCS0006,M06,21064,5.03846,4.1831217,3.8911417
BCS0006,M06,21094,5.03846,4.1831217,3.8911417
BCS0006,M06,21125,5.03846,4.1831217,3.8911417
BCS0006,M06,21155,5.03846,4.1831217,3.8911417
BCS0006,M06,21186,5.03846,4.1831217,3.8911417
BCS0006,M06,21217,5.03846,4.1831217,3.8911417
BCS0006,M06,21245,5.03846,4.1831217,3.8911417
BCS0006,M06,21276,5.03846,4.1831217,3.8911417
BCS0006,M06,21306,5.03846,4.1831217,3.8911417
BCS0006,M06,21337,5.03846,4.1831217,3.8911417
BCS0006,M06,21367,5.03846,4.1831217,3.8911417
BCS0006,M06,21398,5.03846,4.1831217,3.8911417
BCS0006,M06,21429,5.03846,4.1831217,3.8911417
BCS0006,M06,21459,5.03846,4.1831217,3.8911417
BCS0006,M06,21490,5.03846,4.1831217,3.8911417
BCS0006,M06,21520,5.03846,4.1831217,3.8911417
BCS0006,M06,21551,5.03846,4.1831217,3.8911417
BCS0006,M06,21582,5.03846,4.1831217,3.8911417
BCS0006,M06,21610,5.03846,4.1831217,3.8911417
BCS0006,M06,21641,5.03846,4.1831217,3.8911417
BCS0006,M06,21671,5.03846,4.1831217,3.8911417
BCS0006,M06,21702,5.03846,4.1831217,3.8911417
BCS0006,M06,21732,5.03846,4.1831217,3.8911417
BCS0006,M06,21763,5.03846,4.1831217,3.8911417
BCS0006,M06,21794,5.03846,4.1831217,3.8911417
BCS0006,M06,21824,5.03846,4.1831217,3.8911417
BCS0006,M06,21855,5.03846,4.1831217,3.8911417
BCS0006,M06,21885,5.03846,4.1831217,3.8911417
BCS0006,M06,21916,5.03846,4.1831217,3.8911417
BCS0006,M06,21947,5.03846,4.1831217,3.8911417
BCS0006,M06,21976,5.03846,4.1831217,3.8911417
BCS0006,M06,22007,5.03846,4.1831217,3.8911417
BCS0006,M06,22037,5.03846,4.1831217,3.8911417
BCS0006,M06,22068,5.03846,4.1831217,3.8911417
BCS0006,M06,22098,5.03846,4.1831217,3.8911417
BCS0006,M06,22129,5.03846,4.1831217,3.8911417
BCS0006,M06,22160,5.03846,4.1831217,3.8911417
BCS0006,M06,22190,5.03846,4.1831217,3.8911417
BCS0006,M06,22221,5.03846,4.1831217,3.8911417
BCS0006,M06,22251,5.03846,4.1831217,3.8911417
BCS0006,M06,22282,5.03846,4.1831217,3.8911417
BCS0006,M06,22313,5.03846,4.1831217,3.8911417
BCS0006,M06,22341,5.03846,4.1831217,3.8911417
BCS0006,M06,22372,5.03846,4.1831217,3.8911417
BCS0006,M06,22402,5.03846,4.1831217,3.8911417
BCS0006,M06,22433,5.03846,4.1831217,3.8911417
BCS0006,M06,22463,5.03846,4.1831217,3.8911417
BCS0006,M06,22494,5.03846,4.1831217,3.8911417
BCS0006,M06,22525,5.03846,4.1831217,3.8911417
BCS0006,M06,22555,5.03846,4.1831217,3.8911417
BCS0006,M06,22586,5.03846,4.1831217,3.8911417
BCS0006,M06,22616,5.03846,4.1831217,3.8911417
BCS0006,M06,22647,5.03846,4.1831217,3.8911417
BCS0006,M06,22678,5.03846,4.1831217,3.8911417
BCS0006,M06,22706,5.03846,4.1831217,3.8911417
BCS0006,M06,22737,5.03846,4.1831217,3.8911417
BCS0006,M06,22767,5.03846,4.1831217,3.8911417
BCS0006,M06,22798,5.03846,4.1831217,3.8911417
BCS0006,M06,22828,5.03846,4.1831217,3.8911417
BCS0006,M06,22859,5.03846,4.1831217,3.8911417
BCS0006,M06,22890,5.03846,4.1831217,3.8911417
BCS0006,M06,22920,5.03846,4.1831217,3.8911417
BCS0006,M06,22951,5.03846,4.1831217,3.8911417
BCS0006,M06,22981,5.03846,4.1831217,3.8911417
BCS0006,M06,23012,5.03846,4.1831217,3.8911417
BCS0006,M06,23043,5.03846,4.1831217,3.8911417
BCS0006,M06,23071,5.03846,4.1831217,3.8911417
BCS0006,M06,23102,5.03846,4.1831217,3.8911417
BCS0006,M06,23132,5.03846,4.1831217,3.8911417
BCS0006,M06,23163,5.03846,4.1831217,3.8911417
BCS0006,M06,23193,5.03846,4.1831217,3.8911417
BCS0006,M06,23224,5.03846,4.1831217,3.8911417
BCS0006,M06,23255,5.03846,4.1831217,3.8911417
BCS0006,M06,23285,5.03846,4.1831217,3.8911417
BCS0006,M06,23316,5.03846,4.1831217,3.8911417
BCS0006,M06,23346,5.03846,4.1831217,3.8911417
BCS0006,M06,23377,5.03846,4.1831217,3.8911417
BCS0006,M06,23408,5.03846,4.1831217,3.8911417
BCS0006,M06,23437,5.03846,4.1831217,3.8911417
BCS0006,M06,23468,5.03846,4.1831217,3.8911417
BCS0006,M06,23498,5.03846,4.1831217,3.8911417
BCS0006,M06,23529,5.03846,4.1831217,3.8911417
BCS0006,M06,23559,5.03846,4.1831217,3.8911417
BCS0006,M06,23590,5.03846,4.1831217,3.8911417
BCS0006,M06,23621,5.03846,4.1831217,3.8911417
BCS0006,M06,23651,5.03846,4.1831217,3.8911417
BCS0006,M06,23682,5.03846,4.1831217,3.8911417
BCS0006,M06,23712,5.03846,4.1831217,3.8911417
BCS0006,M06,23743,5.03846,4.1831217,3.8911417
BCS0006,M06,23774,5.03846,4.1831217,3.8911417
BCS0006,M06,23802,5.03846,4.1831217,3.8911417
BCS0006,M06,23833,5.03846,4.1831217,3.8911417
BCS0006,M06,23863,5.03846,4.1831217,3.8911417
BCS0006,M06,23894,5.03846,4.1831217,3.8911417
BCS0006,M06,23924,5.03846,4.1831217,3.8911417
BCS0006,M06,23955,5.03846,4.1831217,3.8911417
BCS0006,M06,23986,5.03846,4.1831217,3.8911417
BCS0006,M06,24016,5.03846,4.1831217,3.8911417
BCS0006,M06,24047,5.03846,4.1831217,3.8911417
BCS0006,M06,24077,5.03846,4.1831217,3.8911417
BCS0006,M06,24108,5.03846,4.1831217,3.8911417
BCS0006,M06,24139,5.03846,4.1831217,3.8911417
BCS0006,M06,24167,5.03846,4.1831217,3.8911417
BCS0006,M06,24198,5.03846,4.1831217,3.8911417
BCS0006,M06,24228,5.03846,4.1831217,3.8911417
BCS0006,M06,24259,5.03846,4.1831217,3.8911417
BCS0006,M06,24289,5.03846,4.1831217,3.8911417
BCS0006,M06,24320,5.03846,4.1831217,3.8911417
BCS0006,M06,24351,5.03846,4.1831217,3.8911417
BCS0006,M06,24381,5.03846,4.1831217,3.8911417
BCS0006,M06,24412,5.03846,4.1831217,3.8911417
BCS0006,M06,24442,5.03846,4.1831217,3.8911417
BCS0006,M06,24473,5.03846,4.1831217,3.8911417
BCS0006,M06,24504,5.03846,4.1831217,3.8911417
BCS0006,M06,24532,5.03846,4.1831217,3.8911417
BCS0006,M06,24563,5.03846,4.1831217,3.8911417
BCS0006,M06,24593,5.03846,4.1831217,3.8911417
BCS0006,M06,24624,5.03846,4.1831217,3.8911417
BCS0006,M06,24654,5.03846,4.1831217,3.8911417
BCS0006,M06,24685,5.03846,4.1831217,3.8911417
BCS0006,M06,24716,5.03846,4.1831217,3.8911417
BCS0006,M06,24746,5.03846,4.1831217,3.8911417
BCS0006,M06,24777,5.03846,4.1831217,3.8911417
BCS0006,M06,24807,5.03846,4.1831217,3.8911417
BCS0006,M06,24838,5.03846,4.1831217,3.8911417
BCS0006,M06,24869,5.03846,4.1831217,3.8911417
BCS0006,M06,24898,5.03846,4.1831217,3.8911417
BCS0006,M06,24929,5.03846,4.1831217,3.8911417
BCS0006,M06,24959,5.03846,4.1831217,3.8911417
BCS0006,M06,24990,5.03846,4.1831217,3.8911417
BCS0006,M06,25020,5.03846,4.1831217,3.8911417
BCS0006,M06,25051,5.03846,4.1831217,3.8911417
BCS0006,M06,25082,5.03846,4.1831217,3.8911417
BCS0006,M06,25112,5.03846,4.1831217,3.8911417
BCS0006,M06,25143,5.03846,4.1831217,3.8911417
BCS0006,M06,25173,5.03846,4.1831217,3.8911417
BCS0006,M06,25204,5.03846,4.1831217,3.8911417
BCS0006,M06,25235,5.03846,4.1831217,3.8911417
BCS0006,M06,25263,5.03846,4.1831217,3.8911417
BCS0006,M06,25294,5.03846,4.1831217,3.8911417
BCS0006,M06,25324,5.03846,4.1831217,3.8911417
BCS0006,M06,25355,5.03846,4.1831217,3.8911417
BCS0006,M06,25385,5.03846,4.1831217,3.8911417
BCS0006,M06,25416,5.03846,4.1831217,3.8911417
BCS0006,M06,25447,5.03846,4.1831217,3.8911417
BCS0006,M06,25477,5.03846,4.1831217,3.8911417
BCS0006,M06,25508,5.03846,4.1831217,3.8911417
BCS0006,M06,25538,5.03846,4.1831217,3.8911417
BCS0006,M06,25569,5.03846,4.1831217,3.8911417
BCS0006,M06,25600,5.03846,4.1831217,3.8911417
BCS0006,M06,25628,5.03846,4.1831217,3.8911417
BCS0006,M06,25659,5.03846,4.1831217,3.8911417
BCS0006,M06,25689,5.03846,4.1831217,3.8911417
BCS0006,M06,25720,5.03846,4.1831217,3.8911417
BCS0006,M06,25750,5.03846,4.1831217,3.8911417
BCS0006,M06,25781,5.03846,4.1831217,3.8911417
BCS0006,M06,25812,5.03846,4.1831217,3.8911417
BCS0006,M06,25842,5.03846,4.1831217,3.8911417
BCS0006,M06,25873,5.03846,4.1831217,3.8911417
BCS0006,M06,25903,5.03846,4.1831217,3.8911417
BCS0006,M06,25934,5.03846,4.1831217,3.8911417
BCS0006,M06,25965,5.03846,4.1831217,3.8911417
BCS0006,M06,25993,5.03846,4.1831217,3.8911417
BCS0006,M06,26024,5.03846,4.1831217,3.8911417
BCS0006,M06,26054,5.03846,4.1831217,3.8911417
BCS0006,M06,26085,5.03846,4.1831217,3.8911417
BCS0006,M06,26115,1441.5951,36.889038,141.07913
BCS0006,M06,26146,1199.731,23.780178,143.63196
BCS0006,M06,26177,1337.7946,36.064404,139.88022
BCS0006,M06,26207,1548.2815,48.857166,137.68181
BCS0006,M06,26238,1279.225,38.346363,137.9321
