Alias,Well,Reservoir,Date,Days,"Oil Rate, BOPD","Water Rate, BWPD","Gas Rate, MSCF/D","K, mD","h, ft","Depth_avg, ft","P, psi","Pwf, psi"
BCS0006:M06,BCS0006,M06,19633,0,0,0,0,3.206,189.3,9932,4950,4950
BCS0006:M06,BCS0006,M06,19664,15,299.9,0.9,62.9,3.206,189.3,9932,4950,4950
BCS0006:M06,BCS0006,M06,19694,0,0,0,0,3.206,189.3,9932,4950,4950
BCS0006:M06,BCS0006,M06,19725,0,0,0,0,3.206,189.3,9932,4950,4950
BCS0006:M06,BCS0006,M06,19756,0,0,0,0,3.206,189.3,9932,4950,4950
BCS0006:M06,BCS0006,M06,19784,0,0,0,0,3.206,189.3,9932,4950,4950
BCS0006:M06,BCS0006,M06,19815,0,0,0,0,3.206,189.3,9932,4950,4950
BCS0006:M06,BCS0006,M06,19845,0,0,0,0,3.206,189.3,9932,4950,4950
BCS0006:M06,BCS0006,M06,19876,4,346.3,4.5,103.5,3.206,189.3,9932,4950,4806
BCS0006:M06,BCS0006,M06,19906,4,377.3,5,112.8,3.206,189.3,9932,4950,4793
BCS0006:M06,BCS0006,M06,19937,16,391.6,0.8,48.3,3.206,189.3,9932,4950,4787
BCS0006:M06,BCS0006,M06,19968,20,545.9,1.1,74.4,3.206,189.3,9932,4950,4723
BCS0006:M06,BCS0006,M06,19998,20,593.7,1.2,475.9,3.206,189.3,9932,4950,4704
BCS0006:M06,BCS0006,M06,20029,18,622.7,1.2,156,3.206,189.3,9932,4950,4691
BCS0006:M06,BCS0006,M06,20059,25,1352.6,2.7,1084.3,3.206,189.3,9932,4950,4388
BCS0006:M06,BCS0006,M06,20090,24,1442.9,2.9,303.6,3.206,189.3,9932,4950,4351
BCS0006:M06,BCS0006,M06,20121,22,1397.1,1.4,306.3,3.206,189.3,9932,4950,4370
BCS0006:M06,BCS0006,M06,20149,19,1395.3,1.4,240.3,3.206,189.3,9932,4950,4371
BCS0006:M06,BCS0006,M06,20180,25,1383.1,1.4,245,3.206,189.3,9932,4950,4376
BCS0006:M06,BCS0006,M06,20210,27,1208.8,3.6,231.6,3.206,189.3,9932,4950,4448
BCS0006:M06,BCS0006,M06,20241,9,1468,4.4,278.3,3.206,189.3,9932,4950,4340
BCS0006:M06,BCS0006,M06,20271,25,1516.6,4.6,82.2,3.206,189.3,9932,4950,4320
BCS0006:M06,BCS0006,M06,20302,29,1540.4,4.6,224,3.206,189.3,9932,4950,4310
BCS0006:M06,BCS0006,M06,20333,23,1785.4,5.4,279.3,3.206,189.3,9932,4950,4209
BCS0006:M06,BCS0006,M06,20363,29,1789.9,5.4,276.5,3.206,189.3,9932,4950,4207
BCS0006:M06,BCS0006,M06,20394,28,1601.1,4.8,245.7,3.206,189.3,9932,4950,4285
BCS0006:M06,BCS0006,M06,20424,31,1556.6,4.7,234.2,3.206,189.3,9932,4950,4304
BCS0006:M06,BCS0006,M06,20455,31,1495,30.6,215.3,3.206,189.3,9932,4950,4329
BCS0006:M06,BCS0006,M06,20486,29,1582.1,40.6,272.1,3.206,189.3,9932,4950,4293
BCS0006:M06,BCS0006,M06,20515,31,1557.1,39.9,227,3.206,189.3,9932,4950,4303
BCS0006:M06,BCS0006,M06,20546,30,1641.4,86.4,316.8,3.206,189.3,9932,4950,4268
BCS0006:M06,BCS0006,M06,20576,0,0,0,0,3.206,189.3,9932,4950,4950
BCS0006:M06,BCS0006,M06,20607,24,1702,4.2,245.1,3.206,189.3,9932,4950,4243
BCS0006:M06,BCS0006,M06,20637,31,1414.3,2,248.5,3.206,189.3,9932,4950,4363
BCS0006:M06,BCS0006,M06,20668,31,1445.5,38.5,207.9,3.206,189.3,9932,4950,4350
BCS0006:M06,BCS0006,M06,20699,30,1362.4,33.5,223.7,3.206,189.3,9932,4950,4384
BCS0006:M06,BCS0006,M06,20729,29,1433.4,38.1,206.2,3.206,189.3,9932,4950,4355
BCS0006:M06,BCS0006,M06,20760,30,1285,36.5,174.9,3.206,189.3,9932,4950,4416
BCS0006:M06,BCS0006,M06,20790,31,1295.2,14.8,200.2,3.206,189.3,9932,4950,4412
BCS0006:M06,BCS0006,M06,20821,31,1343,39.7,212,3.206,189.3,9932,4950,4392
BCS0006:M06,BCS0006,M06,20852,28,1329.8,38.4,213.6,3.206,189.3,9932,4950,4398
BCS0006:M06,BCS0006,M06,20880,31,1390.9,34.1,204.2,3.206,189.3,9932,4950,4372
BCS0006:M06,BCS0006,M06,20911,30,1359.5,35.3,177.4,3.206,189.3,9932,4950,4386
BCS0006:M06,BCS0006,M06,20941,30,1311.1,35.3,165.6,3.206,189.3,9932,4950,4406
BCS0006:M06,BCS0006,M06,20972,30,1274.8,52.7,171.4,3.206,189.3,9932,4950,4421
BCS0006:M06,BCS0006,M06,21002,31,1318.7,34.1,169.9,3.206,189.3,9932,4950,4402
BCS0006:M06,BCS0006,M06,21033,12,1362.6,44.5,167,3.206,189.3,9932,4950,4384
BCS0006:M06,BCS0006,M06,21064,0,0,0,0,3.206,189.3,9932,4950,4950
BCS0006:M06,BCS0006,M06,21094,0,0,0,0,3.206,189.3,9932,4950,4950
BCS0006:M06,BCS0006,M06,21125,0,0,0,0,3.206,189.3,9932,4950,4950
BCS0006:M06,BCS0006,M06,21155,0,0,0,0,3.206,189.3,9932,4950,4950
BCS0006:M06,BCS0006,M06,21186,0,0,0,0,3.206,189.3,9932,4950,4950
BCS0006:M06,BCS0006,M06,21217,0,0,0,0,3.206,189.3,9932,4950,4950
BCS0006:M06,BCS0006,M06,21245,0,0,0,0,3.206,189.3,9932,4950,4950
BCS0006:M06,BCS0006,M06,21276,0,0,0,0,3.206,189.3,9932,4950,4950
BCS0006:M06,BCS0006,M06,21306,0,0,0,0,3.206,189.3,9932,4950,4950
BCS0006:M06,BCS0006,M06,21337,0,0,0,0,3.206,189.3,9932,4950,4950
BCS0006:M06,BCS0006,M06,21367,0,0,0,0,3.206,189.3,9932,4950,4950
BCS0006:M06,BCS0006,M06,21398,0,0,0,0,3.206,189.3,9932,4950,4950
BCS0006:M06,BCS0006,M06,21429,0,0,0,0,3.206,189.3,9932,4950,4950
BCS0006:M06,BCS0006,M06,21459,0,0,0,0,3.206,189.3,9932,4950,4950
BCS0006:M06,BCS0006,M06,21490,0,0,0,0,3.206,189.3,9932,4950,4950
BCS0006:M06,BCS0006,M06,21520,0,0,0,0,3.206,189.3,9932,4950,4950
BCS0006:M06,BCS0006,M06,21551,0,0,0,0,3.206,189.3,9932,4950,4950
BCS0006:M06,BCS0006,M06,21582,0,0,0,0,3.206,189.3,9932,4950,4950
BCS0006:M06,BCS0006,M06,21610,0,0,0,0,3.206,189.3,9932,4950,4950
BCS0006:M06,BCS0006,M06,21641,0,0,0,0,3.206,189.3,9932,4950,4950
BCS0006:M06,BCS0006,M06,21671,0,0,0,0,3.206,189.3,9932,4950,4950
BCS0006:M06,BCS0006,M06,21702,0,0,0,0,3.206,189.3,9932,4950,4950
BCS0006:M06,BCS0006,M06,21732,0,0,0,0,3.206,189.3,9932,4950,4950
BCS0006:M06,BCS0006,M06,21763,0,0,0,0,3.206,189.3,9932,4950,4950
BCS0006:M06,BCS0006,M06,21794,0,0,0,0,3.206,189.3,9932,4950,4950
BCS0006:M06,BCS0006,M06,21824,0,0,0,0,3.206,189.3,9932,4950,4950
BCS0006:M06,BCS0006,M06,21855,0,0,0,0,3.206,189.3,9932,4950,4950
BCS0006:M06,BCS0006,M06,21885,0,0,0,0,3.206,189.3,9932,4950,4950
BCS0006:M06,BCS0006,M06,21916,0,0,0,0,3.206,189.3,9932,4950,4950
BCS0006:M06,BCS0006,M06,21947,0,0,0,0,3.206,189.3,9932,4950,4950
BCS0006:M06,BCS0006,M06,21976,0,0,0,0,3.206,189.3,9932,4950,4950
BCS0006:M06,BCS0006,M06,22007,0,0,0,0,3.206,189.3,9932,4950,4950
BCS0006:M06,BCS0006,M06,22037,0,0,0,0,3.206,189.3,9932,4950,4950
BCS0006:M06,BCS0006,M06,22068,0,0,0,0,3.206,189.3,9932,4950,4950
BCS0006:M06,BCS0006,M06,22098,0,0,0,0,3.206,189.3,9932,4950,4950
BCS0006:M06,BCS0006,M06,22129,0,0,0,0,3.206,189.3,9932,4950,4950
BCS0006:M06,BCS0006,M06,22160,0,0,0,0,3.206,189.3,9932,4950,4950
BCS0006:M06,BCS0006,M06,22190,0,0,0,0,3.206,189.3,9932,4950,4950
BCS0006:M06,BCS0006,M06,22221,0,0,0,0,3.206,189.3,9932,4950,4950
BCS0006:M06,BCS0006,M06,22251,0,0,0,0,3.206,189.3,9932,4950,4950
BCS0006:M06,BCS0006,M06,22282,0,0,0,0,3.206,189.3,9932,4950,4950
BCS0006:M06,BCS0006,M06,22313,0,0,0,0,3.206,189.3,9932,4950,4950
BCS0006:M06,BCS0006,M06,22341,0,0,0,0,3.206,189.3,9932,4950,4950
BCS0006:M06,BCS0006,M06,22372,0,0,0,0,3.206,189.3,9932,4950,4950
BCS0006:M06,BCS0006,M06,22402,0,0,0,0,3.206,189.3,9932,4950,4950
BCS0006:M06,BCS0006,M06,22433,0,0,0,0,3.206,189.3,9932,4950,4950
BCS0006:M06,BCS0006,M06,22463,0,0,0,0,3.206,189.3,9932,4950,4950
BCS0006:M06,BCS0006,M06,22494,0,0,0,0,3.206,189.3,9932,4950,4950
BCS0006:M06,BCS0006,M06,22525,0,0,0,0,3.206,189.3,9932,4950,4950
BCS0006:M06,BCS0006,M06,22555,0,0,0,0,3.206,189.3,9932,4950,4950
BCS0006:M06,BCS0006,M06,22586,0,0,0,0,3.206,189.3,9932,4950,4950
BCS0006:M06,BCS0006,M06,22616,0,0,0,0,3.206,189.3,9932,4950,4950
BCS0006:M06,BCS0006,M06,22647,0,0,0,0,3.206,189.3,9932,4950,4950
BCS0006:M06,BCS0006,M06,22678,0,0,0,0,3.206,189.3,9932,4950,4950
BCS0006:M06,BCS0006,M06,22706,0,0,0,0,3.206,189.3,9932,4950,4950
BCS0006:M06,BCS0006,M06,22737,0,0,0,0,3.206,189.3,9932,4950,4950
BCS0006:M06,BCS0006,M06,22767,0,0,0,0,3.206,189.3,9932,4950,4950
BCS0006:M06,BCS0006,M06,22798,0,0,0,0,3.206,189.3,9932,4950,4950
BCS0006:M06,BCS0006,M06,22828,0,0,0,0,3.206,189.3,9932,4950,4950
BCS0006:M06,BCS0006,M06,22859,0,0,0,0,3.206,189.3,9932,4950,4950
BCS0006:M06,BCS0006,M06,22890,0,0,0,0,3.206,189.3,9932,4950,4950
BCS0006:M06,BCS0006,M06,22920,0,0,0,0,3.206,189.3,9932,4950,4950
BCS0006:M06,BCS0006,M06,22951,0,0,0,0,3.206,189.3,9932,4950,4950
BCS0006:M06,BCS0006,M06,22981,0,0,0,0,3.206,189.3,9932,4950,4950
BCS0006:M06,BCS0006,M06,23012,0,0,0,0,3.206,189.3,9932,4950,4950
BCS0006:M06,BCS0006,M06,23043,0,0,0,0,3.206,189.3,9932,4950,4950
BCS0006:M06,BCS0006,M06,23071,0,0,0,0,3.206,189.3,9932,4950,4950
BCS0006:M06,BCS0006,M06,23102,0,0,0,0,3.206,189.3,9932,4950,4950
BCS0006:M06,BCS0006,M06,23132,0,0,0,0,3.206,189.3,9932,4950,4950
BCS0006:M06,BCS0006,M06,23163,0,0,0,0,3.206,189.3,9932,4950,4950
BCS0006:M06,BCS0006,M06,23193,0,0,0,0,3.206,189.3,9932,4950,4950
BCS0006:M06,BCS0006,M06,23224,0,0,0,0,3.206,189.3,9932,4950,4950
BCS0006:M06,BCS0006,M06,23255,0,0,0,0,3.206,189.3,9932,4950,4950
BCS0006:M06,BCS0006,M06,23285,0,0,0,0,3.206,189.3,9932,4950,4950
BCS0006:M06,BCS0006,M06,23316,0,0,0,0,3.206,189.3,9932,4950,4950
BCS0006:M06,BCS0006,M06,23346,0,0,0,0,3.206,189.3,9932,4950,4950
BCS0006:M06,BCS0006,M06,23377,0,0,0,0,3.206,189.3,9932,4950,4950
BCS0006:M06,BCS0006,M06,23408,0,0,0,0,3.206,189.3,9932,4950,4950
BCS0006:M06,BCS0006,M06,23437,0,0,0,0,3.206,189.3,9932,4950,4950
BCS0006:M06,BCS0006,M06,23468,0,0,0,0,3.206,189.3,9932,4950,4950
BCS0006:M06,BCS0006,M06,23498,0,0,0,0,3.206,189.3,9932,4950,4950
BCS0006:M06,BCS0006,M06,23529,0,0,0,0,3.206,189.3,9932,4950,4950
BCS0006:M06,BCS0006,M06,23559,0,0,0,0,3.206,189.3,9932,4950,4950
BCS0006:M06,BCS0006,M06,23590,0,0,0,0,3.206,189.3,9932,4950,4950
BCS0006:M06,BCS0006,M06,23621,0,0,0,0,3.206,189.3,9932,4950,4950
BCS0006:M06,BCS0006,M06,23651,0,0,0,0,3.206,189.3,9932,4950,4950
BCS0006:M06,BCS0006,M06,23682,0,0,0,0,3.206,189.3,9932,4950,4950
BCS0006:M06,BCS0006,M06,23712,0,0,0,0,3.206,189.3,9932,4950,4950
BCS0006:M06,BCS0006,M06,23743,0,0,0,0,3.206,189.3,9932,4950,4950
BCS0006:M06,BCS0006,M06,23774,0,0,0,0,3.206,189.3,9932,4950,4950
BCS0006:M06,BCS0006,M06,23802,0,0,0,0,3.206,189.3,9932,4950,4950
BCS0006:M06,BCS0006,M06,23833,0,0,0,0,3.206,189.3,9932,4950,4950
BCS0006:M06,BCS0006,M06,23863,0,0,0,0,3.206,189.3,9932,4950,4950
BCS0006:M06,BCS0006,M06,23894,0,0,0,0,3.206,189.3,9932,4950,4950
BCS0006:M06,BCS0006,M06,23924,0,0,0,0,3.206,189.3,9932,4950,4950
BCS0006:M06,BCS0006,M06,23955,0,0,0,0,3.206,189.3,9932,4950,4950
BCS0006:M06,BCS0006,M06,23986,0,0,0,0,3.206,189.3,9932,4950,4950
BCS0006:M06,BCS0006,M06,24016,0,0,0,0,3.206,189.3,9932,4950,4950
BCS0006:M06,BCS0006,M06,24047,0,0,0,0,3.206,189.3,9932,4950,4950
BCS0006:M06,BCS0006,M06,24077,0,0,0,0,3.206,189.3,9932,4950,4950
BCS0006:M06,BCS0006,M06,24108,0,0,0,0,3.206,189.3,9932,4950,4950
BCS0006:M06,BCS0006,M06,24139,0,0,0,0,3.206,189.3,9932,4950,4950
BCS0006:M06,BCS0006,M06,24167,0,0,0,0,3.206,189.3,9932,4950,4950
BCS0006:M06,BCS0006,M06,24198,0,0,0,0,3.206,189.3,9932,4950,4950
BCS0006:M06,BCS0006,M06,24228,0,0,0,0,3.206,189.3,9932,4950,4950
BCS0006:M06,BCS0006,M06,24259,0,0,0,0,3.206,189.3,9932,4950,4950
BCS0006:M06,BCS0006,M06,24289,0,0,0,0,3.206,189.3,9932,4950,4950
BCS0006:M06,BCS0006,M06,24320,0,0,0,0,3.206,189.3,9932,4950,4950
BCS0006:M06,BCS0006,M06,24351,0,0,0,0,3.206,189.3,9932,4950,4950
BCS0006:M06,BCS0006,M06,24381,0,0,0,0,3.206,189.3,9932,4950,4950
BCS0006:M06,BCS0006,M06,24412,0,0,0,0,3.206,189.3,9932,4950,4950
BCS0006:M06,BCS0006,M06,24442,0,0,0,0,3.206,189.3,9932,4950,4950
BCS0006:M06,BCS0006,M06,24473,0,0,0,0,3.206,189.3,9932,4950,4950
BCS0006:M06,BCS0006,M06,24504,0,0,0,0,3.206,189.3,9932,4950,4950
BCS0006:M06,BCS0006,M06,24532,0,0,0,0,3.206,189.3,9932,4950,4950
BCS0006:M06,BCS0006,M06,24563,0,0,0,0,3.206,189.3,9932,4950,4950
BCS0006:M06,BCS0006,M06,24593,0,0,0,0,3.206,189.3,9932,4950,4950
BCS0006:M06,BCS0006,M06,24624,0,0,0,0,3.206,189.3,9932,4950,4950
BCS0006:M06,BCS0006,M06,24654,0,0,0,0,3.206,189.3,9932,4950,4950
BCS0006:M06,BCS0006,M06,24685,0,0,0,0,3.206,189.3,9932,4950,4950
BCS0006:M06,BCS0006,M06,24716,0,0,0,0,3.206,189.3,9932,4950,4950
BCS0006:M06,BCS0006,M06,24746,0,0,0,0,3.206,189.3,9932,4950,4950
BCS0006:M06,BCS0006,M06,24777,0,0,0,0,3.206,189.3,9932,4950,4950
BCS0006:M06,BCS0006,M06,24807,0,0,0,0,3.206,189.3,9932,4950,4950
BCS0006:M06,BCS0006,M06,24838,0,0,0,0,3.206,189.3,9932,4950,4950
BCS0006:M06,BCS0006,M06,24869,0,0,0,0,3.206,189.3,9932,4950,4950
BCS0006:M06,BCS0006,M06,24898,0,0,0,0,3.206,189.3,9932,4950,4950
BCS0006:M06,BCS0006,M06,24929,0,0,0,0,3.206,189.3,9932,4950,4950
BCS0006:M06,BCS0006,M06,24959,0,0,0,0,3.206,189.3,9932,4950,4950
BCS0006:M06,BCS0006,M06,24990,0,0,0,0,3.206,189.3,9932,4950,4950
